Arnt2.48h,Sirt3.48h,0.03330993
Ugp2.48h,X4932441K18Rik.48h,0.033263709
Lass2.48h,Etv3.48h,0.03308365
Gata2.48h,Inppl1.48h,0.03299112
Prickle1.48h,Nrip1.48h,0.032970234
T.24.72h.max,MyoD1.48h,0.032942682
Hsf2bp.48h,Hoxa9.48h,0.032936677
Ctnnb1.48h,Tbx3.48h,0.03290785
Id1.48h,Gadd45a.48h,0.032829806
Cdx2.24.72h.max,Foxc1.48h,0.032827832
Nkx2.5.48h,Gata2.48h,0.032819217
Hoxa9.48h,Nanog.48h,0.032739531
Nrip1.48h,Otx2.48h,0.032704011
Tgm2.48h,Inppl1.48h,0.032700295
Gata3.24.72h.max,Klf4.24.72h.max,0.032694767
Gata3.24.72h.max,Dlx3.48h,0.03261004
Fhl2.48h,Lass2.48h,0.032603334
Lhx2.48h,Myc.24.72h.max,0.032593922
Sap30.48h,Irf2.48h,0.032588266
Nkx2.5.48h,Etv1.48h,0.032511221
Smad1.48h,Eed.48h,0.032497264
Eed.48h,Stat3.48h,0.032483533
Tcf3.48h,Tgm2.48h,0.03246148
Mettl5.48h,Ctnnb1.48h,0.032447125
Smad4.48h,Rhox6.48h,0.032253897
Foxp3.48h,Rest.48h,0.032246524
Nrip1.48h,Sox9.48h,0.032211589
Rest.48h,Ctbp2.48h,0.032111348
Etv3.48h,Whsc2.48h,0.032104626
Smad6.48h,Arnt2.48h,0.032095539
MyoD1.48h,Elf1.48h,0.032025358
Foxg1.48h,Nrip1.48h,0.03201793
Fhl2.48h,Tcfap2c.48h,0.032011846
Lhx2.48h,Hoxa2.48h,0.031996773
Sox2.24.72h.max,Sox15.48h,0.031973727
Pdlim1.48h,Foxg1.48h,0.031968675
Tcf4.48h,Id1.48h,0.03188101
Ascl1.24.72h.max,Esx1.24.72h.max,0.031772044
Dlx3.48h,Rxra.48h,0.03171987
Hsf2bp.48h,Tgif1.48h,0.031708428
Stat3.48h,Etv3.48h,0.031694103
Hoxa9.48h,Hsf2bp.48h,0.031657313
Nr5a2.48h,Msc.48h,0.03164741
Dlx3.48h,Myc.24.72h.max,0.031594466
Foxl2.48h,Bcl6.48h,0.031558899
Stat3.48h,Tuba1a.48h,0.031549612
Rest.48h,Klf9.48h,0.031416176
Dlx3.48h,Eomes.48h,0.03128868
Gata3.24.72h.max,Elf1.48h,0.03128234
T.24.72h.max,Irf2.48h,0.031257462
Sirt3.48h,Etv5.48h,0.031241152
Foxl2.48h,Aff1.48h,0.031233897
Stat3.48h,Sfpi1.48h,0.031173785
Esx1.24.72h.max,Dmrt1.48h,0.03116176
Suz12.48h,Tuba1a.48h,0.03115445
Sub1.48h,Lass2.48h,0.031104277
Cbx8.48h,Etv5.48h,0.031084345
Tuba1a.48h,Jarid2.48h,0.031060435
Smad1.48h,Etv5.48h,0.031056424
Whsc2.48h,Stat3.48h,0.031049803
Prickle1.48h,X4932441K18Rik.48h,0.030981222
T.24.72h.max,Eomes.48h,0.030977975
