"from.gene"	"to.gene"	"im"
"Stat3.48h"	"Mettl5.48h"	0.0300768047892107
"Mycn.48h"	"Whsc2.48h"	0.0300449954330384
"MyoD1.48h"	"T.24.72h.max"	0.0300091162722606
"Sox11.48h"	"Smad1.48h"	0.0300090758647414
"Zfand3.48h"	"Dppa5a.48h"	0.0300012516393492
"Cdx2.24.72h.max"	"T.24.72h.max"	0.0299551699628625
"Gata2.48h"	"Gbx2.48h"	0.0299339960213733
"Jun.48h"	"Esx1.24.72h.max"	0.0299060174379717
"Tcfcp2l1.48h"	"Elf5.48h"	0.029864074168763
"Fem1b.48h"	"Etv3.48h"	0.0298467243433338
"Mybl2.48h"	"Nupr1.48h"	0.0298420135223245
"Foxg1.48h"	"Pdlim1.48h"	0.0297916993718206
"MyoD1.48h"	"Foxc1.48h"	0.0297832593587518
"Tuba1a.48h"	"Rhox6.48h"	0.0297788939750607
"Rhox6.48h"	"Jarid2.48h"	0.0297185810280995
"Ctbp2.48h"	"Etv3.48h"	0.0296844363417885
"Batf3.48h"	"Trpv2.48h"	0.0296659921169985
"Nr2f2.48h"	"Mycn.48h"	0.0296618678756069
"Tcea3.48h"	"Dppa5a.48h"	0.029638358309811
"Stra13.48h"	"Jarid1a.48h"	0.0296240554104778
"Nrip1.48h"	"Sox11.48h"	0.0295883257273599
"Ctbp2.48h"	"Dppa5a.48h"	0.0295592260339036
"Tuba1a.48h"	"Mybl2.48h"	0.0294356937549343
"Dmrt1.48h"	"Foxl2.48h"	0.0294147112986023
"Jarid2.48h"	"Eed.48h"	0.029408314508696
"Foxl2.48h"	"Gata2.48h"	0.029394347618339
"X4932441K18Rik.48h"	"Zmat4.48h"	0.0293561999027416
"Zic1.48h"	"Elf5.48h"	0.0293506960227891
"Nupr1.48h"	"Ankrd22.48h"	0.0293319445848975
"Sox7.48h"	"Otx1.48h"	0.0293263658327301
"Tcfcp2l1.48h"	"Mbd3.48h"	0.0293120068979216
"Rhox6.48h"	"Mybl2.48h"	0.0292823056884432
"Trpv2.48h"	"Cdyl.48h"	0.029254503163602
"Nkx2.5.48h"	"Esx1.24.72h.max"	0.029201978259014
"Nrip1.48h"	"Sox7.48h"	0.02919147407428
"Tgm2.48h"	"Tcf3.48h"	0.0291697259412622
"Rest.48h"	"Ankrd22.48h"	0.02911891904099
"Mybl2.48h"	"Whsc2.48h"	0.0291146810522456
"Tgif1.48h"	"Dppa3.48h"	0.0291032798260553
"Dmrt1.48h"	"Foxp3.48h"	0.0291019077730851
"Rhox6.48h"	"Smad4.48h"	0.029069235488556
"Msc.48h"	"Whsc2.48h"	0.0290535074659296
"Tgm2.48h"	"Hesx1.48h"	0.0290456065428007
"Gadd45a.48h"	"Suz12.48h"	0.028985357443066
"Dnmt3b.48h"	"Mettl5.48h"	0.0289616889944439
"Whsc2.48h"	"Tcea3.48h"	0.0289431317445023
"Mbd3.48h"	"Hesx1.48h"	0.0289242756262865
"X4932441K18Rik.48h"	"Cdyl2.48h"	0.0289121939374883
"Klf3.48h"	"Ets1.48h"	0.0288791808063335
"Gata2.48h"	"Zscan4c.48h"	0.0288662173123726
"Dppa5a.48h"	"Sfpi1.48h"	0.0288597201538236
"Dmrt1.48h"	"Gata2.48h"	0.0288269729312504
"Gata2.48h"	"Dlx3.48h"	0.0288221094435343
"Gata2.48h"	"Elf1.48h"	0.0287950799398854
"Nrip1.48h"	"Pdlim1.48h"	0.0287435990096876
"Foxl2.48h"	"Dmrt1.48h"	0.0287048234836275
"Tuba1a.48h"	"Whsc2.48h"	0.0286961419961583
"Nanog.48h"	"Jarid2.48h"	0.0286960930772562
"Eomes.48h"	"Tcfap2c.48h"	0.0286812186752078
"Sfrs6.48h"	"Tcf4.48h"	0.0286696013756474
"Ankrd22.48h"	"X4932441K18Rik.48h"	0.0286208734608879
"Rxra.48h"	"Hoxa9.48h"	0.0285819484756961
"Nsbp1.48h"	"Hesx1.48h"	0.0285807674717311
"Dmrt1.48h"	"Esx1.24.72h.max"	0.0285696637024976
"Id1.48h"	"Suz12.48h"	0.0285110726127952
"Foxl2.48h"	"Ostf1.48h"	0.028496454532204
"Tcf4.48h"	"Ascl2.24.72h.max"	0.028457366170303
"Prickle1.48h"	"Foxp3.48h"	0.0284368923492287
"Etv5.48h"	"Stra13.48h"	0.0284234929663962
"Sap30.48h"	"Jmjd2c.48h"	0.0284098672965785
"Nrip1.48h"	"Ascl1.24.72h.max"	0.0284022481886482
"Hesx1.48h"	"Mbd3.48h"	0.0284008234583578
"Foxl2.48h"	"Esx1.24.72h.max"	0.0283939244372754
"Tcf3.48h"	"Etv1.48h"	0.0283914715453923
"Elf1.48h"	"Cdyl2.48h"	0.0283785318355119
"Nr2f1.48h"	"Sox2.24.72h.max"	0.0283783212864031
"Tcfap2c.48h"	"Elf1.48h"	0.0283662738381
"Tcfap2c.48h"	"Grhl2.48h"	0.0283237937196328
